node.owner.login,node.name,node.createdAt,node.updatedAt,node.primaryLanguage,node.releases.totalCount,node.totalIssues.totalCount,node.closedIssues.totalCount,node.pullRequests.totalCount,node.primaryLanguage.name
massgravel,Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2024-03-20T14:25:40Z,,14,276,268,3,Batchfile
netdata,netdata,2013-06-17T18:39:10Z,2024-03-20T12:37:54Z,,78,7724,7515,8082,C
moby,moby,2013-01-18T18:10:57Z,2024-03-20T13:57:56Z,,163,22408,19424,19562,Go
thedaviddias,Front-End-Checklist,2017-10-16T10:12:36Z,2024-03-20T14:21:34Z,,1,145,145,173,
elastic,elasticsearch,2010-02-08T13:20:56Z,2024-03-20T09:27:28Z,,138,34548,30451,62240,Java
base-org,node,2023-02-01T13:55:02Z,2024-03-20T11:20:44Z,,28,105,99,88,Shell
hakimel,reveal.js,2011-06-07T18:54:22Z,2024-03-20T11:03:00Z,,46,2335,1643,397,JavaScript
mermaid-js,mermaid,2014-11-01T23:52:32Z,2024-03-20T14:14:03Z,,120,2752,1892,1976,JavaScript
pallets,flask,2010-04-06T11:11:59Z,2024-03-20T14:11:56Z,,33,2611,2608,1543,Python
DopplerHQ,awesome-interview-questions,2015-11-28T09:48:17Z,2024-03-20T14:26:01Z,,0,57,31,175,
apple,swift,2015-10-23T21:15:07Z,2024-03-20T12:21:30Z,,52,14699,8367,47315,C++
ChatGPTNextWeb,ChatGPT-Next-Web,2023-03-10T18:27:54Z,2024-03-20T14:24:11Z,,58,2434,2260,551,TypeScript
microsoft,ML-For-Beginners,2021-03-03T01:34:05Z,2024-03-20T13:55:19Z,,0,0,0,354,HTML
coder,code-server,2019-02-27T16:50:41Z,2024-03-20T13:52:16Z,,144,3396,3097,1429,TypeScript
CompVis,stable-diffusion,2022-08-10T14:36:44Z,2024-03-20T13:52:26Z,,0,682,186,5,Jupyter Notebook
supabase,supabase,2019-10-12T05:56:49Z,2024-03-20T14:13:48Z,,11,3204,3032,8031,TypeScript
webpack,webpack,2012-03-10T10:08:14Z,2024-03-20T11:38:45Z,,410,9768,9619,4565,JavaScript
vitejs,vite,2020-04-21T05:03:57Z,2024-03-20T14:19:22Z,,405,6797,6424,4189,TypeScript
anuraghazra,github-readme-stats,2020-07-09T10:34:22Z,2024-03-20T14:18:33Z,,0,1156,1056,1083,JavaScript
redis,redis,2009-03-21T22:32:25Z,2024-03-20T14:25:46Z,,65,6370,4399,3694,C
Developer-Y,cs-video-courses,2016-10-21T17:02:11Z,2024-03-20T14:08:14Z,,0,130,130,138,
nestjs,nest,2017-02-04T20:12:52Z,2024-03-20T13:51:29Z,,94,5197,5152,6057,TypeScript
expressjs,express,2009-06-26T18:56:01Z,2024-03-20T13:51:29Z,,148,3806,3674,279,JavaScript
protocolbuffers,protobuf,2014-08-26T15:52:15Z,2024-03-20T13:55:43Z,,152,6014,5501,4984,C++
chartjs,Chart.js,2013-03-17T23:56:36Z,2024-03-20T13:51:41Z,,108,7055,6706,2933,JavaScript
josephmisiti,awesome-machine-learning,2014-07-15T19:11:19Z,2024-03-20T13:41:22Z,,0,86,86,820,Python
bregman-arie,devops-exercises,2019-10-03T17:31:21Z,2024-03-20T13:54:05Z,,0,81,56,261,Python
fighting41love,funNLP,2018-08-21T11:20:39Z,2024-03-20T14:18:26Z,,0,72,47,14,Python
nomic-ai,gpt4all,2023-03-27T18:49:32Z,2024-03-20T13:59:20Z,,12,1434,1068,477,C++
MunGell,awesome-for-beginners,2015-10-24T19:53:36Z,2024-03-20T14:09:14Z,,0,148,119,335,
FuelLabs,sway,2021-01-19T20:54:33Z,2024-03-20T14:22:41Z,,127,2632,2008,2725,Rust
leonardomso,33-js-concepts,2018-09-04T13:27:04Z,2024-03-20T13:05:04Z,,0,81,64,236,JavaScript
kdn251,interviews,2017-02-14T18:19:25Z,2024-03-20T14:11:01Z,,0,52,22,42,Java
enaqx,awesome-react,2014-08-06T05:31:44Z,2024-03-20T14:09:19Z,,0,104,99,775,
resume,resume.github.com,2011-02-06T13:39:55Z,2024-03-20T07:39:16Z,,0,113,59,84,JavaScript
rustdesk,rustdesk,2020-09-28T15:36:08Z,2024-03-20T13:57:14Z,,13,2598,2552,2369,Rust
twitter,the-algorithm,2023-03-27T14:57:57Z,2024-03-20T13:47:44Z,,0,922,666,2,Scala
keras-team,keras,2015-03-28T00:35:42Z,2024-03-20T11:34:58Z,,61,11675,11464,3250,Python
microsoft,playwright,2019-11-15T18:32:42Z,2024-03-20T14:08:35Z,,121,12773,12049,12099,TypeScript
ansible,ansible,2012-03-06T14:58:02Z,2024-03-20T13:32:26Z,,68,32099,31567,37760,Python
reduxjs,redux,2015-05-29T23:53:15Z,2024-03-20T12:00:45Z,,78,2032,1994,1661,TypeScript
atom,atom,2012-01-20T18:18:21Z,2024-03-20T13:41:34Z,,538,17114,16152,3937,JavaScript
socketio,socket.io,2010-03-11T18:24:48Z,2024-03-20T14:24:38Z,,62,3424,3324,425,TypeScript
grafana,grafana,2013-12-11T15:59:56Z,2024-03-20T14:25:22Z,,413,34956,31221,40565,TypeScript
2dust,v2rayN,2019-07-30T03:47:24Z,2024-03-20T14:20:58Z,,169,4102,4081,127,C#
